"","hgnc_symbol"
"1","CHUK"
"2","IKBKB"
"3","IKBKG"
"4","TRAF6"
"5","IRF6"
"6","TNFRSF1A"
"7","IL1A"
"8","HMOX1"
"9","ALG5"
"10","ARL6IP6"
"11","CLCC1"
"12","SUN2"
"13","VPS39"
"14","VPS11"
"15","TRIM23"
"16","BTRC"
"17","MYD88"
"18","TRIM27"
"19","TRIM21"
"20","TRIM29"
"21","TRAF3"
"22","TRIM14"
"23","TAB2"
"24","TAB3"
"25","MAP3K7"
"26","NFKBIA"
"27","SERPINF2"
"28","CACTIN"
"29","NFKB1"
"30","IFNB1"
"31","RELA"
"32","TRIM39"
"33","TRIM38"
"34","IL1B"
"35","TRIM59"
"36","NLRP3"
"37","PYCARD"
"38","TICAM1"
"39","TLR4"
"40","TRIM9"
"41","CASP1"
"42","TLR3"
"43","TLR9"
"44","TLR8"
"45","TLR7"
"46","TRIM22"
"47","TMPRSS2"
"48","ACE2"
"49","CTSB"
"50","CTSL"
"51","FURIN"
"52","IRF3"
"53","IRF1"
"54","TBK1"
"55","STAT2"
"56","STAT1"
"57","IRF9"
"58","JAK1"
"59","TYK2"
"60","SOCS1"
"61","STAT3"
"62","SOCS3"
"63","TIMM9"
"64","TOMM22"
"65","TOMM70"
"66","NDUFB9"
"67","ACAD9"
"68","SOD2"
"69","GSR"
"70","ECSIT"
"71","ATP5MG"
"72","TIMM10"
"73","NDUFA1"
"74","TXN2"
"75","NDUFB1"
"76","NDUFB2"
"77","NDUFB3"
"78","NDUFB4"
"79","NDUFB5"
"80","NDUFB6"
"81","NDUFB7"
"82","NDUFB8"
"83","NDUFB10"
"84","NDUFB11"
"85","NDUFS4"
"86","NDUFS5"
"87","NDUFS6"
"88","NDUFA2"
"89","NDUFA3"
"90","NDUFA4"
"91","NDUFA5"
"92","NDUFA6"
"93","NDUFA7"
"94","NDUFA8"
"95","NDUFA9"
"96","NDUFA10"
"97","NDUFA11"
"98","NDUFA12"
"99","NDUFA13"
"100","NDUFAB1"
"101","NDUFS1"
"102","NDUFS2"
"103","NDUFS3"
"104","NDUFS7"
"105","NDUFS8"
"106","NDUFV1"
"107","NDUFV2"
"108","NDUFV3"
"109","MT-ND1"
"110","MT-ND2"
"111","MT-ND3"
"112","MT-ND4"
"113","MT-ND4L"
"114","MT-ND5"
"115","MT-ND6"
"116","SDHA"
"117","SDHB"
"118","SDHD"
"119","SDHC"
"120","SOD1"
"121","CAT"
"122","TIMM29"
"123","TIMM22"
"124","PRDX1"
"125","PRDX2"
"126","PRDX5"
"127","PRDX6"
"128","PRDX3"
"129","GPX4"
"130","GPX1"
"131","MT-CO3"
"132","MT-CO2"
"133","MT-CO1"
"134","MT-ATP8"
"135","MT-ATP6"
"136","MT-CYB"
"137","NDUFAF7"
"138","TFB1M"
"139","TFB2M"
"140","POLRMT"
"141","MRPS27"
"142","MRPS5"
"143","MRPS25"
"144","MRPS2"
"145","POLG2"
"146","MTFMT"
"147","MTPAP"
"148","MRPL3"
"149","MRPS16"
"150","MRPS22"
"151","TUFM"
"152","TSFM"
"153","GFM1"
"154","C12orf65"
"155","TWNK"
"156","TRMT1"
"157","DGUOK"
"158","TK2"
"159","RRM2B"
"160","SUCLA2"
"161","SUCLG1"
"162","AARS2"
"163","DARS2"
"164","RARS2"
"165","ERCC6"
"166","ERCC8"
"167","POLG"
"168","MT-TC"
"169","MT-TE"
"170","MT-TF"
"171","MT-TH"
"172","MT-TI"
"173","MT-TK"
"174","MT-TL1"
"175","MT-TL2"
"176","MT-TN"
"177","MT-TP"
"178","MT-TQ"
"179","MT-TR"
"180","MT-TS1"
"181","MT-TS2"
"182","MT-TT"
"183","MT-TV"
"184","MT-TW"
"185","TFAM"
"186","UQCRFS1"
"187","UQCRH"
"188","UQCRFS1P1"
"189","UQCRQ"
"190","UQCR10"
"191","UQCR11"
"192","UQCRB"
"193","UQCRC1"
"194","UQCRC2"
"195","TXNRD2"
"196","ATP5MC1"
"197","ATP5MC2"
"198","ATP5MC3"
"199","ATP5MF"
"200","ATP5PO"
"201","ATP5ME"
"202","ATP5PB"
"203","ATP5PD"
"204","ATP5PF"
"205","ATP5F1A"
"206","ATP5F1B"
"207","ATP5F1C"
"208","ATP5F1D"
"209","ATP5F1E"
"210","ATP5F1EP2"
"211","ATP5MD"
"212","ATP5MPL"
"213","COX4I1"
"214","COX4I2"
"215","COX5A"
"216","COX5B"
"217","COX6A1"
"218","COX6A2"
"219","COX6B1"
"220","COX6B2"
"221","COX6C"
"222","COX7A1"
"223","COX7A2"
"224","COX7B"
"225","COX7B2"
"226","COX7C"
"227","COX8A"
"228","COX8C"
"229","SIRT3"
"230","BCS1L"
"231","HCCS"
"232","CHCHD7"
"233","CMC1"
"234","COA1"
"235","COA3"
"236","COA4"
"237","COA5"
"238","COA6"
"239","COA7"
"240","COA8"
"241","COX10"
"242","COX11"
"243","COX14"
"244","COX15"
"245","COX16"
"246","COX17"
"247","COX18"
"248","COX19"
"249","COX20"
"250","HIGD1A"
"251","HIGD2A"
"252","NUBPL"
"253","FDXR"
"254","FDX2"
"255","LYRM7"
"256","SDHAF1"
"257","SDHAF2"
"258","NDUFAF5"
"259","NDUFAF3"
"260","NDUFAF4"
"261","NDUFAF1"
"262","NDUFAF2"
"263","FOXRED1"
"264","DMAC1"
"265","NDUFAF6"
"266","NDUFAF8"
"267","DMAC2"
"268","CD38"
"269","SLC5A8"
"270","BST1"
"271","NT5E"
"272","NMNAT3"
"273","NADK2"
"274","AHR"
"275","AFMID"
"276","NMNAT2"
"277","SLC36A4"
"278","NMRK2"
"279","NMRK1"
"280","QPRT"
"281","KYAT1"
"282","PTGS2"
"283","PTGIS"
"284","NADSYN1"
"285","ACMSD"
"286","IDO2"
"287","IDO1"
"288","NFKB2"
"289","NADK"
"290","SLC22A13"
"291","KMO"
"292","NNMT"
"293","KYNU"
"294","NAMPT"
"295","HAAO"
"296","NUDT12"
"297","RNLS"
"298","ALAS1"
"299","ALAS2"
"300","FECH"
"301","CPOX"
"302","UROD"
"303","ABCC1"
"304","CYBRD1"
"305","RBX1"
"306","KEAP1"
"307","CUL3"
"308","SLC11A2"
"309","HMBS"
"310","ABCG2"
"311","BLVRA"
"312","FTL"
"313","FTH1"
"314","TFRC"
"315","NCOA4"
"316","CAND1"
"317","SLC40A1"
"318","HEPH"
"319","ALAD"
"320","BLVRB"
"321","BACH1"
"322","MAF"
"323","CP"
"324","UROS"
"325","MCOLN1"
"326","STEAP3"
"327","ALB"
"328","SLC6A15"
"329","ATP6V1B1"
"330","ATP6V1E2"
"331","ATP6V1B2"
"332","ATP6V1A"
"333","ATP6V1C1"
"334","ATP6V1H"
"335","ATP6V1E1"
"336","ATP6V1G1"
"337","ATP6V1D"
"338","ATP6V1C2"
"339","ATP6V1G2"
"340","ATP6V0E1"
"341","ATP6V0A2"
