"","hgnc_symbol","count"
"1","IFNA1",72
"2","NFKB1",51
"3","STAT1",47
"4","IRF3",46
"5","MAPK8",37
"6","TYK2",36
"7","MAPK9",35
"8","MAVS",35
"9","IFNB1",34
"10","MAPK10",34
"11","STAT2",34
"12","DDX58",33
"13","IKBKG",33
"14","IRF7",33
"15","MAPK1",33
"16","MAPK3",33
"17","MAPK12",31
"18","MAPK14",31
"19","CHUK",30
"20","MAPK11",30
"21","MAPK13",30
"22","AKT1",28
"23","IKBKB",28
"24","JAK1",28
"25","TRAF3",26
"26","AKT2",25
"27","AKT3",25
"28","TLR3",25
"29","PIK3CD",24
"30","PIK3R4",24
"31","TRAF6",24
"32","IKBKE",23
"33","PIK3CA",23
"34","PIK3CB",23
"35","PIK3CG",23
"36","PIK3R3",23
"37","PIK3R5",23
"38","PIK3R6",23
"39","MYD88",22
"40","TLR4",22
"41","IRF9",21
"42","EIF2AK2",20
"43","IFIH1",20
"44","IFNA4",20
"45","IFNAR1",20
"46","TLR7",20
"47","IFNA2",19
"48","RELA",19
"49","IFNA10",18
"50","IFNA13",18
"51","IFNA14",18
"52","IFNA16",18
"53","IFNA17",18
"54","IFNA21",18
"55","IFNA5",18
"56","IFNA6",18
"57","IFNA7",18
"58","IFNA8",18
"59","JAK2",18
"60","JUN",18
"61","NFKB2",18
"62","REL",18
"63","TNF",18
"64","RELB",17
"65","TBK1",17
"66","TLR9",17
"67","TRAF2",17
"68","IL6",16
"69","TLR2",16
"70","TLR6",15
"71","TLR8",15
"72","CASP10",14
"73","CASP2",14
"74","CASP8",14
"75","CASP9",14
"76","EIF2AK3",14
"77","IL1B",14
"78","TMEM173",14
"79","CASP1",13
"80","CASP12",13
"81","CASP14",13
"82","CASP3",13
"83","CASP4",13
"84","CASP5",13
"85","CASP6",13
"86","CASP7",13
"87","MTOR",13
"88","CXCL8",12
"89","DDIT3",12
"90","ERN1",12
"91","IFNAR2",12
"92","IRF6",12
"93","JAK3",12
"94","HSPA5",11
"95","IRAK1",11
"96","STAT3",11
"97","TLR1",11
"98","XBP1",11
"99","ATF4",10
"100","ATF6",10
"101","CXCL10",10
"102","FOS",10
"103","IRF1",10
"104","MX1",10
"105","STAT4",10
"106","STAT6",10
"107","TLR10",10
"108","TLR5",10
"109","TNFRSF1A",10
"110","STAT5A",9
"111","STAT5B",9
"112","TAB2",9
"113","TRIM63",9
"114","ATF2",8
"115","C3",8
"116","FADD",8
"117","FAS",8
"118","FOSB",8
"119","FOSL2",8
"120","GAST",8
"121","HRAS",8
"122","IFNG",8
"123","IFNK",8
"124","IFNW1",8
"125","IL10",8
"126","ISG15",8
"127","IVNS1ABP",8
"128","JUNB",8
"129","JUND",8
"130","PRKCA",8
"131","TG",8
"132","TRA",8
"133","CREB5",7
"134","CXCL9",7
"135","EGFR",7
"136","FOSL1",7
"137","HSP90B1",7
"138","KRAS",7
"139","KRR1",7
"140","NRAS",7
"141","OPN1LW",7
"142","PRKCB",7
"143","PRKCE",7
"144","TGFB3",7
"145","TP53",7
"146","TRIM25",7
"147","CGAS",6
"148","CISH",6
"149","CXCL11",6
"150","IL1A",6
"151","MYC",6
"152","OASL",6
"153","PRKCD",6
"154","PRKCG",6
"155","PRKCH",6
"156","PRKCI",6
"157","PRKCQ",6
"158","PRKCZ",6
"159","PRKD3",6
"160","SRC",6
"161","TANK",6
"162","TGFB1",6
"163","TGFB2",6
"164","TRADD",6
"165","ACTA1",5
"166","ACTB",5
"167","ACTC1",5
"168","ATF1",5
"169","BAX",5
"170","BCL2",5
"171","CREB1",5
"172","CREB3",5
"173","CREB3L1",5
"174","CREB3L2",5
"175","CREB3L3",5
"176","CREB3L4",5
"177","CREM",5
"178","CXCL2",5
"179","FASLG",5
"180","FOXO1",5
"181","GSK3B",5
"182","IFIT3",5
"183","IFNGR1",5
"184","IL12A",5
"185","IL12B",5
"186","IRAK4",5
"187","NLRP3",5
"188","NR2C2",5
"189","OAS1",5
"190","PPBP",5
"191","RNASEL",5
"192","SMAD3",5
"193","SOCS1",5
"194","TRAF1",5
"195","TRAF4",5
"196","TRAF5",5
"197","TRAF7",5
"198","TRB",5
"199","TRD",5
"200","TRG",5
"201","XRCC6",5
"202","ACTA2",4
"203","ACTG1",4
"204","ACTG2",4
"205","ATF3",4
"206","ATG12",4
"207","BAK1",4
"208","BCL2L1",4
"209","CAMK2B",4
"210","CCL2",4
"211","CD14",4
"212","CD8A",4
"213","CD8B",4
"214","CTNNB1",4
"215","CXCL1",4
"216","CXCL12",4
"217","CXCL13",4
"218","CXCL14",4
"219","CXCL3",4
"220","CXCL5",4
"221","CXCL6",4
"222","DHX58",4
"223","EGF",4
"224","EGR1",4
"225","EIF2AK1",4
"226","EIF2AK4",4
"227","EP300",4
"228","FOXO3",4
"229","GBF1",4
"230","GRB2",4
"231","IRF5",4
"232","MAP2K2",4
"233","MAP2K6",4
"234","MAP3K1",4
"235","MBTPS1",4
"236","MMP7",4
"237","MMP9",4
"238","NFKBIA",4
"239","NMI",4
"240","PDCD1",4
"241","PF4",4
"242","PLCG1",4
"243","PPP1R15A",4
"244","PRKAA1",4
"245","PRKAA2",4
"246","PRKAB1",4
"247","PRKAB2",4
"248","PRKACA",4
"249","PRKAG1",4
"250","PRKAG2",4
"251","PRKAG3",4
"252","PTPN11",4
"253","RAB5A",4
"254","RAB7A",4
"255","RAC1",4
"256","SARS",4
"257","SH2D3A",4
"258","SMAD4",4
"259","SOCS3",4
"260","TNFRSF10B",4
"261","TSC2",4
"262","APOA2",3
"263","APOE",3
"264","ARF1",3
"265","ARNT",3
"266","ASS1",3
"267","ATG7",3
"268","BID",3
"269","BST2",3
"270","C3AR1",3
"271","CALR",3
"272","CCL5",3
"273","CD40",3
"274","CD81",3
"275","CDC34",3
"276","CDC42",3
"277","CDH1",3
"278","CDKN2A",3
"279","DYNLL1",3
"280","EDEM1",3
"281","FOXO4",3
"282","FOXO6",3
"283","HSP90AB1",3
"284","HSPB1",3
"285","IFIT1",3
"286","IFNE",3
"287","IL10RB",3
"288","IL18",3
"289","IL1R1",3
"290","IL2",3
"291","IL4",3
"292","KRIT1",3
"293","LDLR",3
"294","MAP1LC3A",3
"295","MAP2K3",3
"296","MAP2K4",3
"297","MAP2K7",3
"298","MAX",3
"299","MDM2",3
"300","MMP10",3
"301","MMP11",3
"302","MMP12",3
"303","MMP13",3
"304","MMP16",3
"305","MMP2",3
"306","MX2",3
"307","NFATC3",3
"308","NRG1",3
"309","NRG2",3
"310","PIM1",3
"311","PLCG2",3
"312","PPP1CA",3
"313","PRKACB",3
"314","PRKACG",3
"315","PRKAR1A",3
"316","PRKAR1B",3
"317","PRKAR2A",3
"318","PRKAR2B",3
"319","PRKDC",3
"320","PSMB8",3
"321","PTEN",3
"322","PTK2",3
"323","PTPN2",3
"324","RAB18",3
"325","RAB25",3
"326","RAB27A",3
"327","RAB35",3
"328","RAB4A",3
"329","RAB8A",3
"330","RAB9A",3
"331","RAC2",3
"332","RHOA",3
"333","ROCK1",3
"334","ROCK2",3
"335","RPS6KB1",3
"336","RPS6KB2",3
"337","RPTOR",3
"338","RSAD2",3
"339","SCARB1",3
"340","SMAD2",3
"341","SOS1",3
"342","SOS2",3
"343","SPP1",3
"344","STUB1",3
"345","TAB3",3
"346","TGFBR1",3
"347","TIRAP",3
"348","TNFRSF10A",3
"349","TRAP1",3
"350","TRIM38",3
"351","TSC1",3
"352","WNT1",3
"353","WNT10A",3
"354","WNT3A",3
"355","ACE2",2
"356","ACTN2",2
"357","ACTN4",2
"358","AIMP1",2
"359","ALB",2
"360","APOA1",2
"361","APP",2
"362","ARAF",2
"363","ARNT2",2
"364","ARNTL",2
"365","ARRB1",2
"366","ARRB2",2
"367","ATG10",2
"368","ATG13",2
"369","ATG3",2
"370","ATG5",2
"371","ATM",2
"372","ATR",2
"373","BAD",2
"374","BAG3",2
"375","BDNF",2
"376","BRAF",2
"377","BRCA1",2
"378","BTK",2
"379","BTRC",2
"380","C5AR1",2
"381","CA2",2
"382","CAB39",2
"383","CANX",2
"384","CD274",2
"385","CD36",2
"386","CD4",2
"387","CD44",2
"388","CDKN2B",2
"389","CDKN2D",2
"390","CHEK2",2
"391","CHPT1",2
"392","CLDN1",2
"393","CLTA",2
"394","CLTB",2
"395","CLTC",2
"396","CLU",2
"397","CP",2
"398","CPO",2
"399","CSNK2A1",2
"400","CSNK2A2",2
"401","CSNK2B",2
"402","CTSK",2
"403","CYLD",2
"404","DAO",2
"405","DAXX",2
"406","DDIT4",2
"407","DDX3X",2
"408","DDX60",2
"409","DICER1",2
"410","DPP4",2
"411","E2F1",2
"412","E2F2",2
"413","E2F3",2
"414","ECSIT",2
"415","EEF1E1",2
"416","EIF1",2
"417","EIF1AX",2
"418","EIF4EBP1",2
"419","ELF2",2
"420","EPAS1",2
"421","ESR1",2
"422","FBXW7",2
"423","FGA",2
"424","FGB",2
"425","FGFR1",2
"426","FGFR3",2
"427","FGG",2
"428","FLNA",2
"429","FZD1",2
"430","FZD10",2
"431","FZD2",2
"432","FZD3",2
"433","FZD4",2
"434","FZD5",2
"435","FZD6",2
"436","FZD7",2
"437","FZD8",2
"438","FZD9",2
"439","G3BP1",2
"440","GNA12",2
"441","GNA13",2
"442","GNAI1",2
"443","GNAI2",2
"444","GNAI3",2
"445","GNAO1",2
"446","GNAT1",2
"447","GNAT2",2
"448","GNAT3",2
"449","GNAZ",2
"450","GPHA2",2
"451","H6PD",2
"452","HDAC1",2
"453","HDAC2",2
"454","HDAC3",2
"455","HDAC6",2
"456","HIF1A",2
"457","HIF3A",2
"458","IFI30",2
"459","IFIT2",2
"460","IFITM1",2
"461","IFITM2",2
"462","IFNGR2",2
"463","IFNLR1",2
"464","IFT22",2
"465","IK",2
"466","IL17A",2
"467","INPP5D",2
"468","IPP",2
"469","KAT5",2
"470","KPNA1",2
"471","LAG3",2
"472","LBP",2
"473","LCK",2
"474","LY96",2
"475","MAF",2
"476","MAP2K1",2
"477","MAP3K11",2
"478","MAP3K20",2
"479","MAP3K5",2
"480","MAP3K6",2
"481","MAPKAPK5",2
"482","MBTPS2",2
"483","MCL1",2
"484","MMP1",2
"485","MMP14",2
"486","MMP15",2
"487","MMP17",2
"488","MMP19",2
"489","MMP20",2
"490","MMP21",2
"491","MMP23B",2
"492","MMP24",2
"493","MMP25",2
"494","MMP27",2
"495","MMP28",2
"496","MMP3",2
"497","MMP8",2
"498","MPC1",2
"499","MRPL49",2
"500","NCF1",2
"501","NELFCD",2
"502","NES",2
"503","NFATC1",2
"504","NGF",2
"505","NOS2",2
"506","NR0B2",2
"507","OAS2",2
"508","OCLN",2
"509","PC",2
"510","PDC",2
"511","PDK1",2
"512","PHLPP1",2
"513","PLCB1",2
"514","PLCB2",2
"515","PLCB3",2
"516","PLCB4",2
"517","PLCD1",2
"518","PLCD3",2
"519","PLCD4",2
"520","PLCE1",2
"521","PLCZ1",2
"522","PLK4",2
"523","POMC",2
"524","PPARA",2
"525","PPP3CA",2
"526","PPP3CB",2
"527","PPP3CC",2
"528","PTPN6",2
"529","RAB10",2
"530","RAB11A",2
"531","RAB11B",2
"532","RAB12",2
"533","RAB13",2
"534","RAB14",2
"535","RAB15",2
"536","RAB17",2
"537","RAB19",2
"538","RAB1A",2
"539","RAB1B",2
"540","RAB20",2
"541","RAB21",2
"542","RAB22A",2
"543","RAB23",2
"544","RAB24",2
"545","RAB26",2
"546","RAB27B",2
"547","RAB28",2
"548","RAB29",2
"549","RAB2A",2
"550","RAB2B",2
"551","RAB30",2
"552","RAB31",2
"553","RAB32",2
"554","RAB33A",2
"555","RAB33B",2
"556","RAB34",2
"557","RAB36",2
"558","RAB37",2
"559","RAB38",2
"560","RAB39A",2
"561","RAB39B",2
"562","RAB3A",2
"563","RAB3B",2
"564","RAB3C",2
"565","RAB3D",2
"566","RAB40A",2
"567","RAB40AL",2
